person_id,first_name,last_name,team,description,all_nba_team_number,season,month,week,conference,type,subtype1,subtype2,subtype3
600015,Oscar,Robertson,Cincinnati Royals,All-NBA,1,1960-61,,,1610612758,Award,Kia Motors,KIANT,
600015,Oscar,Robertson,Cincinnati Royals,NBA Sporting News Most Valuable Player of the Year,,1963-64,,,,Award,Sporting News,SNMVP,
600015,Oscar,Robertson,Milwaukee Bucks,All-NBA,2,1970-71,,,1610612749,Award,Kia Motors,KIANT,
600015,Oscar,Robertson,Cincinnati Royals,NBA All-Star Most Valuable Player,,1968-69,,,,Award,Kia Motors,KAMVP,
600015,Oscar,Robertson,Cincinnati Royals,NBA Rookie of the Year,,1960-61,,,,Award,Kia Motors,KIROY,
600015,Oscar,Robertson,Cincinnati Royals,All-NBA,2,1969-70,,,1610612758,Award,Kia Motors,KIANT,
600015,Oscar,Robertson,Cincinnati Royals,All-NBA,1,1966-67,,,1610612758,Award,Kia Motors,KIANT,
600015,Oscar,Robertson,Cincinnati Royals,All-NBA,1,1961-62,,,1610612758,Award,Kia Motors,KIANT,
600015,Oscar,Robertson,Cincinnati Royals,All-NBA,1,1967-68,,,1610612758,Award,Kia Motors,KIANT,
600015,Oscar,Robertson,Cincinnati Royals,All-NBA,1,1962-63,,,1610612758,Award,Kia Motors,KIANT,
600015,Oscar,Robertson,USA,Olympic Gold Medal,,1960,,,,Award,Olympic,Gold,
600015,Oscar,Robertson,Cincinnati Royals,NBA Sporting News Rookie of the Year,,1960-61,,,,Award,Sporting News,SNROY,
600015,Oscar,Robertson,Cincinnati Royals,All-NBA,1,1965-66,,,1610612758,Award,Kia Motors,KIANT,
600015,Oscar,Robertson,Cincinnati Royals,All-NBA,1,1963-64,,,1610612758,Award,Kia Motors,KIANT,
600015,Oscar,Robertson,Cincinnati Royals,All-NBA,1,1964-65,,,1610612758,Award,Kia Motors,KIANT,
600015,Oscar,Robertson,,Hall of Fame Inductee,,1980,,,,Award,Hall of Fame,,
600015,Oscar,Robertson,Cincinnati Royals,All-NBA,1,1968-69,,,1610612758,Award,Kia Motors,KIANT,
600015,Oscar,Robertson,Cincinnati Royals,NBA All-Star Most Valuable Player,,1960-61,,,,Award,Kia Motors,KAMVP,
600015,Oscar,Robertson,Cincinnati Royals,NBA All-Star Most Valuable Player,,1963-64,,,,Award,Kia Motors,KAMVP,
600015,Oscar,Robertson,Cincinnati Royals,NBA Most Valuable Player,,1963-64,,,,Award,Kia Motors,KIMVP,
77986,Cliff,Robinson,New Jersey Nets,NBA Player of the Week,,1979-80,,1980-03-09T00:00:00,,Award,Kia Motors,KIPWK,
361,Clifford,Robinson,Phoenix Suns,All-Defensive Team,2,1999-00,,,1610612756,Award,Kia Motors,KIADT,
361,Clifford,Robinson,Detroit Pistons,All-Defensive Team,2,2001-02,,,1610612765,Award,Kia Motors,KIADT,
361,Clifford,Robinson,Portland Trail Blazers,NBA Player of the Week,,1995-96,,1996-01-07T00:00:00,,Award,Kia Motors,KIPWK,
361,Clifford,Robinson,Portland Trail Blazers,NBA Sixth Man of the Year,,1992-93,,,,Award,Sporting News,KISMY,
764,David,Robinson,San Antonio Spurs,NBA Rookie of the Month,,1989-90,04/01/1990,,,Award,Kia Motors,KIRMO,
764,David,Robinson,San Antonio Spurs,NBA Player of the Week,,1991-92,,1991-12-01T00:00:00,,Award,Kia Motors,KIPWK,
764,David,Robinson,San Antonio Spurs,J. Walter Kennedy Citizenship,,2002-03,,,,Award,Kia Motors,KIWKC,
764,David,Robinson,San Antonio Spurs,NBA Rookie of the Year,,1989-90,,,,Award,Kia Motors,KIROY,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,2,1993-94,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,All-Defensive Team,2,1997-98,,,1610612759,Award,Kia Motors,KIADT,
764,David,Robinson,San Antonio Spurs,NBA Player of the Month,,1994-95,03/01/1995,,,Award,Kia Motors,KIPMO,
764,David,Robinson,San Antonio Spurs,IBM Award,,1990-91,,,,Award,IBM,IBMAW,
764,David,Robinson,San Antonio Spurs,All-NBA,3,1989-90,,,1610612759,Award,Kia Motors,KIANT,
